level_samples_per_window,behavior,run_idx,seed,decisions,offered_fragments_per_second,measurement_seconds,actual_queries_per_second,actual_fragments_per_second,blocks_legacy,blocks_combined,blocks_volume,blocks_entropy,blocks_unique,fpr_legacy,fpr_combined,fpr_volume,fpr_entropy,fpr_unique,entropy_mean,entropy_p95,samples_mean,unique_ratio_mean,raw_decisions_file,raw_decisions_sha256
36,random2048,15,23860933,300,17.500000,16.936551,17.713170,17.713170,300,295,295,300,300,1.000000,0.983333,0.983333,1.000000,1.000000,5.1746,5.7179,37.317,0.9895,raw_decisions/main/random2048/level_36/run_15_seed_23860933.jsonl,05f9d03697ddac9df0a2631e87fc6866619af5e5c6b10ccadaaeb9abdb320913
36,random2048,16,23860934,300,17.500000,17.006162,17.640665,17.640665,300,288,288,300,300,1.000000,0.960000,0.960000,1.000000,1.000000,5.0825,5.3576,34.617,0.9920,raw_decisions/main/random2048/level_36/run_16_seed_23860934.jsonl,f7df851c8e41f98b77a0923dc4b497eb0bbc8efaefa5bee213ecee5db267014c
36,random2048,17,23860935,300,17.500000,15.741392,19.058035,19.058035,300,300,300,300,300,1.000000,1.000000,1.000000,1.000000,1.000000,5.2106,5.6439,37.827,0.9920,raw_decisions/main/random2048/level_36/run_17_seed_23860935.jsonl,492ac8ee65857e36fd5d7aacf96c520ad2749bc7e9f69316e9ff31654f907815
36,random2048,18,23860936,300,17.500000,15.991274,18.760231,18.760231,300,296,296,300,300,1.000000,0.986667,0.986667,1.000000,1.000000,5.2418,5.5850,39.007,0.9872,raw_decisions/main/random2048/level_36/run_18_seed_23860936.jsonl,b8b559b15daab7868d5f0f25177b09e3d6e13c9ba5fdcaf1a2a89dca472ebb6b
36,random2048,19,23860937,300,17.500000,18.728783,16.018126,16.018126,300,295,295,300,300,1.000000,0.983333,0.983333,1.000000,1.000000,5.0328,5.3219,33.160,0.9991,raw_decisions/main/random2048/level_36/run_19_seed_23860937.jsonl,b68aa1a9eab7c975fbcca3fa3f1aeacf88e15e482f2841f1243be72a3c4ddd4e
36,sequential,0,23870925,300,17.500000,17.333688,17.307338,17.307338,300,296,296,300,300,1.000000,0.986667,0.986667,1.000000,1.000000,5.1637,5.4594,36.257,1.0000,raw_decisions/main/sequential/level_36/run_00_seed_23870925.jsonl,1ecde63b027fa9b8e2112a8be64c9a6309e6d3f034f9fb3df5e4928fcc0b0bd2
36,sequential,1,23870926,300,17.500000,17.135132,17.507889,17.507889,300,300,300,300,300,1.000000,1.000000,1.000000,1.000000,1.000000,5.1363,5.4919,35.590,1.0000,raw_decisions/main/sequential/level_36/run_01_seed_23870926.jsonl,eaaec4fd70f3489f4e039fa077b10efb77935535e5b561521f6a331c646286e9
36,sequential,2,23870927,300,17.500000,17.035446,17.610340,17.610340,300,291,291,300,300,1.000000,0.970000,0.970000,1.000000,1.000000,5.2167,5.5546,37.917,1.0000,raw_decisions/main/sequential/level_36/run_02_seed_23870927.jsonl,a24113f43a40f3bb78af46f2c7e5ae300fed6c8e152bf3c8af1bf5e5ac8cf02a
36,sequential,3,23870928,300,17.500000,19.140709,15.673401,15.673401,300,293,293,300,300,1.000000,0.976667,0.976667,1.000000,1.000000,5.0058,5.3923,32.550,1.0000,raw_decisions/main/sequential/level_36/run_03_seed_23870928.jsonl,5b27d25c8d85f7d5d536f868d6159d0c551a689dcc883f1ef9d9553d565bb08c
36,sequential,4,23870929,300,17.500000,16.268283,18.440790,18.440790,300,300,300,300,300,1.000000,1.000000,1.000000,1.000000,1.000000,5.2142,5.5546,37.700,1.0000,raw_decisions/main/sequential/level_36/run_04_seed_23870929.jsonl,08fba40dfc09060132cdd6be6eebddbcaa8497c533dad026669559eacf88949a
