source_experiment,source_artifact,source_hash,scope,attack_condition,benign_condition,level,variant_or_comparison,metric,estimate,ci95_low,ci95_high,n_independent_units,independent_unit,inference_method,measurement_status,notes
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,120,traffic_feature,unique_ratio,1.0,1.0,1.0,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,300,combined,benign_trigger_rate,1.0,1.0,1.0,20,run,cluster bootstrap over independent runs,measured,Benign-only FPR; not an attack-detection metric.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,300,traffic_feature,samples,294.97866666666664,288.154740899138,301.8025924341953,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,300,traffic_feature,entropy,8.201927665905444,8.168089256277563,8.235766075533325,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,300,traffic_feature,unique_ratio,1.0,1.0,1.0,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,smallpool16,5,combined,benign_trigger_rate,0.0,0.0,0.0,20,run,cluster bootstrap over independent runs,measured,Benign-only FPR; not an attack-detection metric.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,smallpool16,5,traffic_feature,samples,4.982666666666667,4.8594601909004425,5.105873142432891,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,smallpool16,5,traffic_feature,entropy,1.9534254716735344,1.9242508367530504,1.9826001065940184,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,smallpool16,5,traffic_feature,unique_ratio,0.8867824037074037,0.8803544688428574,0.89321033857195,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,smallpool16,12,combined,benign_trigger_rate,0.0,0.0,0.0,20,run,cluster bootstrap over independent runs,measured,Benign-only FPR; not an attack-detection metric.
