behavior,phase,level,run,seed,space,configuration,rate
sequential,main,12,19,21470872,65536,initial,0.0
sequential,main,12,19,21470872,65536,locked,0.0
random2048,main,18,0,22060864,2048,initial,0.2
random2048,main,18,0,22060864,2048,locked,0.0
random2048,main,18,0,22060864,65536,initial,0.2
random2048,main,18,0,22060864,65536,locked,0.0
random2048,main,18,1,22060865,2048,initial,0.11666666666666667
random2048,main,18,1,22060865,2048,locked,0.0
random2048,main,18,1,22060865,65536,initial,0.11666666666666667
random2048,main,18,1,22060865,65536,locked,0.0
random2048,main,18,2,22060866,2048,initial,0.01
random2048,main,18,2,22060866,2048,locked,0.0
random2048,main,18,2,22060866,65536,initial,0.01
random2048,main,18,2,22060866,65536,locked,0.0
random2048,main,18,3,22060867,2048,initial,0.24
random2048,main,18,3,22060867,2048,locked,0.0
random2048,main,18,3,22060867,65536,initial,0.24
random2048,main,18,3,22060867,65536,locked,0.0
random2048,main,18,4,22060868,2048,initial,0.0033333333333333335
random2048,main,18,4,22060868,2048,locked,0.0
random2048,main,18,4,22060868,65536,initial,0.0033333333333333335
random2048,main,18,4,22060868,65536,locked,0.0
random2048,main,18,5,22060869,2048,initial,0.1
random2048,main,18,5,22060869,2048,locked,0.0
random2048,main,18,5,22060869,65536,initial,0.1
random2048,main,18,5,22060869,65536,locked,0.0
random2048,main,18,6,22060870,2048,initial,0.05
random2048,main,18,6,22060870,2048,locked,0.0
random2048,main,18,6,22060870,65536,initial,0.05
random2048,main,18,6,22060870,65536,locked,0.0
random2048,main,18,7,22060871,2048,initial,0.14666666666666667
random2048,main,18,7,22060871,2048,locked,0.0
random2048,main,18,7,22060871,65536,initial,0.14666666666666667
random2048,main,18,7,22060871,65536,locked,0.0
random2048,main,18,8,22060872,2048,initial,0.06666666666666667
random2048,main,18,8,22060872,2048,locked,0.0
random2048,main,18,8,22060872,65536,initial,0.06666666666666667
random2048,main,18,8,22060872,65536,locked,0.0
random2048,main,18,9,22060873,2048,initial,0.08333333333333333
random2048,main,18,9,22060873,2048,locked,0.0
random2048,main,18,9,22060873,65536,initial,0.08333333333333333
random2048,main,18,9,22060873,65536,locked,0.0
random2048,main,18,10,22060874,2048,initial,0.05333333333333334
random2048,main,18,10,22060874,2048,locked,0.0
random2048,main,18,10,22060874,65536,initial,0.05333333333333334
random2048,main,18,10,22060874,65536,locked,0.0
random2048,main,18,11,22060875,2048,initial,0.06333333333333334
random2048,main,18,11,22060875,2048,locked,0.0
random2048,main,18,11,22060875,65536,initial,0.06333333333333334
random2048,main,18,11,22060875,65536,locked,0.0
random2048,main,18,12,22060876,2048,initial,0.05333333333333334
random2048,main,18,12,22060876,2048,locked,0.0
random2048,main,18,12,22060876,65536,initial,0.05333333333333334
random2048,main,18,12,22060876,65536,locked,0.0
random2048,main,18,13,22060877,2048,initial,0.08333333333333333
random2048,main,18,13,22060877,2048,locked,0.0
random2048,main,18,13,22060877,65536,initial,0.08333333333333333
random2048,main,18,13,22060877,65536,locked,0.0
random2048,main,18,14,22060878,2048,initial,0.09
random2048,main,18,14,22060878,2048,locked,0.0
random2048,main,18,14,22060878,65536,initial,0.09
random2048,main,18,14,22060878,65536,locked,0.0
random2048,main,18,15,22060879,2048,initial,0.2
random2048,main,18,15,22060879,2048,locked,0.0
random2048,main,18,15,22060879,65536,initial,0.2
random2048,main,18,15,22060879,65536,locked,0.0
random2048,main,18,16,22060880,2048,initial,0.09333333333333334
random2048,main,18,16,22060880,2048,locked,0.0
random2048,main,18,16,22060880,65536,initial,0.09333333333333334
random2048,main,18,16,22060880,65536,locked,0.0
random2048,main,18,17,22060881,2048,initial,0.07
random2048,main,18,17,22060881,2048,locked,0.0
random2048,main,18,17,22060881,65536,initial,0.07
random2048,main,18,17,22060881,65536,locked,0.0
random2048,main,18,18,22060882,2048,initial,0.11333333333333333
random2048,main,18,18,22060882,2048,locked,0.0
random2048,main,18,18,22060882,65536,initial,0.11333333333333333
random2048,main,18,18,22060882,65536,locked,0.0
random2048,main,18,19,22060883,2048,initial,0.16333333333333333
random2048,main,18,19,22060883,2048,locked,0.0
random2048,main,18,19,22060883,65536,initial,0.16333333333333333
random2048,main,18,19,22060883,65536,locked,0.0
sequential,main,18,0,22070871,2048,initial,0.12333333333333334
sequential,main,18,0,22070871,2048,locked,0.0
sequential,main,18,0,22070871,65536,initial,0.12333333333333334
sequential,main,18,0,22070871,65536,locked,0.0
sequential,main,18,1,22070872,2048,initial,0.05
sequential,main,18,1,22070872,2048,locked,0.0
sequential,main,18,1,22070872,65536,initial,0.05
sequential,main,18,1,22070872,65536,locked,0.0
sequential,main,18,2,22070873,2048,initial,0.25333333333333335
sequential,main,18,2,22070873,2048,locked,0.0
sequential,main,18,2,22070873,65536,initial,0.25333333333333335
sequential,main,18,2,22070873,65536,locked,0.0
sequential,main,18,3,22070874,2048,initial,0.02
sequential,main,18,3,22070874,2048,locked,0.0
sequential,main,18,3,22070874,65536,initial,0.02
sequential,main,18,3,22070874,65536,locked,0.0
sequential,main,18,4,22070875,2048,initial,0.20666666666666667
sequential,main,18,4,22070875,2048,locked,0.0
sequential,main,18,4,22070875,65536,initial,0.20666666666666667
sequential,main,18,4,22070875,65536,locked,0.0
sequential,main,18,5,22070876,2048,initial,0.07666666666666666
sequential,main,18,5,22070876,2048,locked,0.0
sequential,main,18,5,22070876,65536,initial,0.07666666666666666
sequential,main,18,5,22070876,65536,locked,0.0
sequential,main,18,6,22070877,2048,initial,0.26666666666666666
sequential,main,18,6,22070877,2048,locked,0.0
sequential,main,18,6,22070877,65536,initial,0.26666666666666666
sequential,main,18,6,22070877,65536,locked,0.0
sequential,main,18,7,22070878,2048,initial,0.03
sequential,main,18,7,22070878,2048,locked,0.0
sequential,main,18,7,22070878,65536,initial,0.03
sequential,main,18,7,22070878,65536,locked,0.0
sequential,main,18,8,22070879,2048,initial,0.12666666666666668
sequential,main,18,8,22070879,2048,locked,0.0
sequential,main,18,8,22070879,65536,initial,0.12666666666666668
sequential,main,18,8,22070879,65536,locked,0.0
sequential,main,18,9,22070880,2048,initial,0.15
sequential,main,18,9,22070880,2048,locked,0.0
sequential,main,18,9,22070880,65536,initial,0.15
sequential,main,18,9,22070880,65536,locked,0.0
sequential,main,18,10,22070881,2048,initial,0.16666666666666666
sequential,main,18,10,22070881,2048,locked,0.0
sequential,main,18,10,22070881,65536,initial,0.16666666666666666
sequential,main,18,10,22070881,65536,locked,0.0
sequential,main,18,11,22070882,2048,initial,0.09666666666666666
sequential,main,18,11,22070882,2048,locked,0.0
sequential,main,18,11,22070882,65536,initial,0.09666666666666666
sequential,main,18,11,22070882,65536,locked,0.0
sequential,main,18,12,22070883,2048,initial,0.043333333333333335
sequential,main,18,12,22070883,2048,locked,0.0
sequential,main,18,12,22070883,65536,initial,0.043333333333333335
sequential,main,18,12,22070883,65536,locked,0.0
sequential,main,18,13,22070884,2048,initial,0.04666666666666667
sequential,main,18,13,22070884,2048,locked,0.0
sequential,main,18,13,22070884,65536,initial,0.04666666666666667
sequential,main,18,13,22070884,65536,locked,0.0
sequential,main,18,14,22070885,2048,initial,0.03333333333333333
sequential,main,18,14,22070885,2048,locked,0.0
sequential,main,18,14,22070885,65536,initial,0.03333333333333333
sequential,main,18,14,22070885,65536,locked,0.0
sequential,main,18,15,22070886,2048,initial,0.02
sequential,main,18,15,22070886,2048,locked,0.0
sequential,main,18,15,22070886,65536,initial,0.02
sequential,main,18,15,22070886,65536,locked,0.0
sequential,main,18,16,22070887,2048,initial,0.09666666666666666
sequential,main,18,16,22070887,2048,locked,0.0
sequential,main,18,16,22070887,65536,initial,0.09666666666666666
sequential,main,18,16,22070887,65536,locked,0.0
sequential,main,18,17,22070888,2048,initial,0.11
sequential,main,18,17,22070888,2048,locked,0.0
sequential,main,18,17,22070888,65536,initial,0.11
sequential,main,18,17,22070888,65536,locked,0.0
sequential,main,18,18,22070889,2048,initial,0.06333333333333334
sequential,main,18,18,22070889,2048,locked,0.0
sequential,main,18,18,22070889,65536,initial,0.06333333333333334
sequential,main,18,18,22070889,65536,locked,0.0
sequential,main,18,19,22070890,2048,initial,0.17666666666666667
sequential,main,18,19,22070890,2048,locked,0.0
sequential,main,18,19,22070890,65536,initial,0.17666666666666667
sequential,main,18,19,22070890,65536,locked,0.0
random2048,main,24,0,22660882,2048,initial,0.5533333333333333
random2048,main,24,0,22660882,2048,locked,0.0
random2048,main,24,0,22660882,65536,initial,0.5533333333333333
random2048,main,24,0,22660882,65536,locked,0.0
random2048,main,24,1,22660883,2048,initial,0.4533333333333333
random2048,main,24,1,22660883,2048,locked,0.0
random2048,main,24,1,22660883,65536,initial,0.4533333333333333
random2048,main,24,1,22660883,65536,locked,0.0
random2048,main,24,2,22660884,2048,initial,0.8133333333333334
random2048,main,24,2,22660884,2048,locked,0.0
random2048,main,24,2,22660884,65536,initial,0.8133333333333334
random2048,main,24,2,22660884,65536,locked,0.0
random2048,main,24,3,22660885,2048,initial,0.5033333333333333
random2048,main,24,3,22660885,2048,locked,0.0
random2048,main,24,3,22660885,65536,initial,0.5033333333333333
random2048,main,24,3,22660885,65536,locked,0.0
random2048,main,24,4,22660886,2048,initial,0.5333333333333333
random2048,main,24,4,22660886,2048,locked,0.0
random2048,main,24,4,22660886,65536,initial,0.5333333333333333
random2048,main,24,4,22660886,65536,locked,0.0
random2048,main,24,5,22660887,2048,initial,0.6866666666666666
random2048,main,24,5,22660887,2048,locked,0.0
random2048,main,24,5,22660887,65536,initial,0.6866666666666666
random2048,main,24,5,22660887,65536,locked,0.0
random2048,main,24,6,22660888,2048,initial,0.43333333333333335
random2048,main,24,6,22660888,2048,locked,0.0
random2048,main,24,6,22660888,65536,initial,0.43333333333333335
random2048,main,24,6,22660888,65536,locked,0.0
random2048,main,24,7,22660889,2048,initial,0.5233333333333333
random2048,main,24,7,22660889,2048,locked,0.0
random2048,main,24,7,22660889,65536,initial,0.5233333333333333
random2048,main,24,7,22660889,65536,locked,0.0
random2048,main,24,8,22660890,2048,initial,0.4533333333333333
random2048,main,24,8,22660890,2048,locked,0.0
random2048,main,24,8,22660890,65536,initial,0.4533333333333333
random2048,main,24,8,22660890,65536,locked,0.0
random2048,main,24,9,22660891,2048,initial,0.6633333333333333
random2048,main,24,9,22660891,2048,locked,0.0
random2048,main,24,9,22660891,65536,initial,0.6633333333333333
random2048,main,24,9,22660891,65536,locked,0.0
random2048,main,24,10,22660892,2048,initial,0.69
random2048,main,24,10,22660892,2048,locked,0.0
random2048,main,24,10,22660892,65536,initial,0.69
random2048,main,24,10,22660892,65536,locked,0.0
random2048,main,24,11,22660893,2048,initial,0.38666666666666666
random2048,main,24,11,22660893,2048,locked,0.0
random2048,main,24,11,22660893,65536,initial,0.38666666666666666
random2048,main,24,11,22660893,65536,locked,0.0
random2048,main,24,12,22660894,2048,initial,0.42333333333333334
random2048,main,24,12,22660894,2048,locked,0.0
random2048,main,24,12,22660894,65536,initial,0.42333333333333334
random2048,main,24,12,22660894,65536,locked,0.0
random2048,main,24,13,22660895,2048,initial,0.4266666666666667
