policy,workload,rep,trial_id,packet_sha256,time_ns,matching_head_seen_at_ingress,samples,orphan_count,orphan_ratio,orphan_majority,orphan_any
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t014-7392d5cb,29a58e59c2d90ed20a17c6c5bc41a7b49efcb9468936b371d1967a46a8ed203b,1789119601100625521,True,31,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t015-b532b687,7b27883e8440ad6591252d648ed6a8421f439384235a2e18ccffebcb5b49d5be,1789119601452784394,True,31,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t016-9a0f859a,3821b3bbb2a2a4d8025cf44c4c6316631f80bdebc5747dd301c84500005d9ca8,1789119601788753474,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t017-d0bc66de,85bcc485e047c32a977d9410aad940ca7746d956071afeca4c9efcd23265af1b,1789119602120633232,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t018-e2aa1a0a,dfc5336bf541a69c3b07c2660d5d731cf21e20137463cdf5054b0c00abf4da62,1789119602444834355,True,31,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t019-5f9d0cd5,3f3f197364ee3485d8dfd30e786b36aa94221d8cb86dcc423bc962c52940ebfe,1789119602808747037,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t020-2cf072ec,e8fe4afd69249947a0df53d3b44984fc29befa371f81079f11c2a9a2481440ae,1789119603137004535,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t000-0bd3c8f0,cae8be841a893b6e2b00619d743ab7a11db6fe5fc253b649828564c2127ea6e7,1789119643307825574,True,401,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t001-28d1f6b8,511faba07a00110600aa07830d31a9950416d2b96dec51d805df239450549513,1789119643623954420,True,402,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t002-e2a3dfd2,ae4ab4b8049930b712eee15bfd6f57783f9769df4a6fa22d58c563e77de1399a,1789119643956035476,True,403,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t003-0452fc71,fb24c319c8ef45d352062738bbdad057ef051ada8ec2bfe1124823acd9d221b8,1789119644312004348,True,404,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t004-a1a02ab6,53737bb29fe2fdb31418177092bee50b02690a2290ec0b05b63ee65ba9b22a82,1789119644632530110,True,405,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t005-d24a9270,762ddf384f6c069287704ced702742f07e22cef18804892835f03d2bf1657eff,1789119644980751123,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t006-806a292b,c82f72c97893192b801eaea9528c61e51d445d420878b0a14cc0d9534c7d9f02,1789119645315972955,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t007-9da0826d,cf386b2a0ed8e25b09932de67542a922d94f9b9d38e8fe8945ea3cfa7c92eb76,1789119645433143878,True,431,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t008-81691565,22be5cf26f315885c56e0d1077ad20e95e608e7bc88657029966e62e07f979ed,1789119646758897363,True,257,0,0.0,False,False
