policy,workload,rep,trials,majority_query_rate,any_query_rate,majority_interval_rate,any_interval_rate,mean_query_ratio,mean_peak_ratio,max_tail_ratio,zero_ratio_in_both_capture_orders,first_fragments,noninitial_fragments,forged_logged,forged_observed,clock_offset_range_ms,capture_order_inversions,max_capture_inversion_ms,record_order_max_orphan_ratio
B1_RL2_TC,ATTACK_DIVERSE_HIGH,3,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4857,4857,50,50,0.000663,0,0.0,0.0
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,3,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,339,339,0,0,0.00057,0,0.0,0.0
B5_LOCKED_TC,ATTACK_DIVERSE_HIGH,3,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4805,4805,50,50,0.000663,0,0.0,0.0
B1_RL2_TC,BENIGN_DIVERSE_HIGH,3,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5667,5667,0,0,0.00057,0,0.0,0.0
B0_OFF,ATTACK_DIVERSE_MODERATE,3,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,324,324,50,50,0.000661,0,0.0,0.0
B5_LOCKED_TC,BENIGN_DIVERSE_HIGH,3,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5960,5960,0,0,1636.001809,0,0.0,0.0
B1_RL2_TC,BENIGN_DIVERSE_HIGH,4,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,6017,6017,0,0,1661.037171,0,0.0,0.0
B0_OFF,BENIGN_DIVERSE_HIGH,4,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5002,5002,0,0,1631.675136,0,0.0,0.0
B1_RL2_TC,BENIGN_DIVERSE_MODERATE,4,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,374,374,0,0,1693.493222,0,0.0,0.0
RFC_DROP_NATIVE,BENIGN_DIVERSE_MODERATE,4,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,396,396,0,0,0.000473,0,0.0,0.0
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,4,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5637,5637,50,50,0.000854,0,0.0,0.0
B1_RL2_TC,ATTACK_DIVERSE_HIGH,4,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4871,4871,50,50,0.000469,0,0.0,0.0
RFC_DROP_NATIVE,BENIGN_DIVERSE_HIGH,4,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5629,5629,0,0,0.000665,4,0.02059,0.0
B0_OFF,BENIGN_DIVERSE_MODERATE,4,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,342,342,0,0,0.000475,0,0.0,0.0
B5_LOCKED_TC,ATTACK_DIVERSE_MODERATE,4,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,324,324,50,50,0.000566,0,0.0,0.0
B5_LOCKED_TC,BENIGN_DIVERSE_HIGH,4,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5661,5661,0,0,0.000571,7,0.021297,0.0
B0_OFF,ATTACK_DIVERSE_HIGH,4,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4868,4868,50,50,0.00057,0,0.0,0.0
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,4,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,346,346,0,0,0.000569,0,0.0,0.0
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,4,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,397,397,50,50,0.000664,0,0.0,0.0
B5_LOCKED_TC,ATTACK_DIVERSE_HIGH,4,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4814,4814,50,50,0.000666,0,0.0,0.0
B0_OFF,ATTACK_DIVERSE_MODERATE,4,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,323,323,50,50,0.000662,0,0.0,0.0
