policy,workload,rep,trial_id,query_start_wall_ns,query_end_wall_ns,ratio_at_query,n_at_query,orphan_at_query,peak_ratio_during_query,majority_at_query,any_at_query,majority_during_query,any_during_query,zero_ratio_in_both_capture_orders,query_clock_status
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t026-d6baa192,1789119620490396313,1789119620834097863,0.0,30,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t027-3322f6ca,1789119620845682604,1789119621179828527,0.0,30,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t028-15e7cfbb,1789119621190268030,1789119621539503262,0.0,30,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t029-6be52155,1789119621551207464,1789119621891187011,0.0,30,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t030-629ee2d4,1789119621903129180,1789119622261830275,0.0,30,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t031-affe0174,1789119622273312745,1789119622632171402,0.0,30,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t032-8f254b1c,1789119622643627230,1789119622990139213,0.0,30,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t033-17afff18,1789119623000416952,1789119623373317558,0.0,30,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t034-61ae7d1d,1789119623384018806,1789119623707335618,0.0,30,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t035-4830f8c7,1789119623717863164,1789119624063911723,0.0,30,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t036-f98a2e89,1789119624075135218,1789119624404656142,0.0,30,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t037-0ddf82d9,1789119624415250941,1789119624779652264,0.0,30,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t038-58ff222e,1789119624791446903,1789119625118634263,0.0,30,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t039-b063f964,1789119625128907705,1789119625463002267,0.0,30,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t040-53b4cd48,1789119625473268064,1789119625827334138,0.0,30,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
